"No.","Time","Source","Destination","Protocol","Length","Info"
"2149","23.674618502","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=408743 Ack=8588 Win=90112 Len=1208 TSval=1176364124 TSecr=986382753 [TCP PDU reassembled in 2153]"
"2150","23.674618764","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=409951 Ack=8588 Win=90112 Len=1208 TSval=1176364124 TSecr=986382753 [TCP PDU reassembled in 2153]"
"2151","23.674618793","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [PSH, ACK] Seq=411159 Ack=8588 Win=90112 Len=1208 TSval=1176364124 TSecr=986382753 [TCP PDU reassembled in 2153]"
"2152","23.674618822","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=412367 Ack=8588 Win=90112 Len=1208 TSval=1176364125 TSecr=986382758 [TCP PDU reassembled in 2153]"
"2153","23.674618873","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","1294","Application Data"
"2154","23.674618902","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","1294","Application Data"
"2155","23.674618931","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=415991 Ack=8588 Win=90112 Len=1208 TSval=1176364125 TSecr=986382758 [TCP PDU reassembled in 2165]"
"2156","23.674618959","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  38062 [ACK] Seq=417199 Ack=8588 Win=90112 Len=1208 TSval=1176364125 TSecr=986382758 [TCP PDU reassembled in 2165]"
"2157","23.674646103","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","TCP","86","38062  >  443 [ACK] Seq=8588 Ack=411159 Win=176128 Len=0 TSval=986382808 TSecr=1176364124"
"2158","23.674656951","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:9000:2394:fe00:1d:d7f6:39d5:bd01","TCP","86","38062  >  443 [ACK] Seq=8588 Ack=413575 Win=182272 Len=0 TSval=986382808 TSecr=1176364124"
