"No.","Time","Source","Destination","Protocol","Length","Info"
"6","0.933207748","2603:1026:c0d:1005::2","2a0d:3344:18fa:4916:f109:b90c:1660:710d","UDP","93","443  >  35648 Len=31"
"7","1.672699490","2a00:1450:4001:82a::200e","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TLSv1.2","125","Application Data"
"14","3.800118592","2a06:98c1:3107::6812:2715","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TLSv1.2","114","Application Data"
"19","5.941055717","fe80::9683:c4ff:fe22:da08","2a0d:3344:18fa:4916:f109:b90c:1660:710d","ICMPv6","86","Neighbor Solicitation for 2a0d:3344:18fa:4916:f109:b90c:1660:710d from 94:83:c4:22:da:08"
"20","6.367896768","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:1901:0:38d7::","TCP","86","60746  >  80 [ACK] Seq=1 Ack=1 Win=64 Len=0 TSval=2360886489 TSecr=1323322545"
"21","6.367932986","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:1901:0:38d7::","TCP","86","60754  >  80 [ACK] Seq=1 Ack=1 Win=64 Len=0 TSval=2360886489 TSecr=567638018"
"22","6.554722420","2600:1901:0:38d7::","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","[TCP ACKed unseen segment] 80  >  60754 [ACK] Seq=1 Ack=2 Win=1054 Len=0 TSval=567648313 TSecr=2360865911"
"23","6.554722449","2600:1901:0:38d7::","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","[TCP ACKed unseen segment] 80  >  60746 [ACK] Seq=1 Ack=2 Win=1053 Len=0 TSval=1323332831 TSecr=2360866009"
"24","6.867249164","fe80::9683:c4ff:fe22:da08","2a0d:3344:18fa:4916:f109:b90c:1660:710d","ICMPv6","86","Neighbor Solicitation for 2a0d:3344:18fa:4916:f109:b90c:1660:710d from 94:83:c4:22:da:08"
"28","7.989949132","fe80::9683:c4ff:fe22:da08","2a0d:3344:18fa:4916:f109:b90c:1660:710d","ICMPv6","86","Neighbor Solicitation for 2a0d:3344:18fa:4916:f109:b90c:1660:710d from 94:83:c4:22:da:08"
"39","11.554623420","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2603:1026:c0d:1005::2","UDP","97","35648  >  443 Len=35"
"40","11.554678204","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2603:1026:c0d:1005::2","UDP","97","35648  >  443 Len=35"
"41","11.623706840","2603:1026:c0d:1005::2","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","UDP","96","443  >  35648 Len=34"
"42","12.000910850","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a06:98c1:3107::6812:2715","TLSv1.2","118","[TCP Spurious Retransmission] , Application Data"
"47","13.535895529","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a00:1450:4001:82a::200e","TLSv1.2","188","Application Data, Application Data, Application Data"
"48","13.535927657","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a06:98c1:3107::6812:2715","TLSv1.2","118","Application Data"
"51","14.338346731","2a06:98c1:3107::6812:2715","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.2","110","Application Data"
"52","14.338390090","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a06:98c1:3107::6812:2715","TCP","86","50788  >  443 [ACK] Seq=1 Ack=25 Win=63 Len=0 TSval=413463094 TSecr=1100046789"
"53","14.338549862","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a06:98c1:3107::6812:2715","TLSv1.2","114","Application Data"
"54","14.396839193","2a06:98c1:3107::6812:2715","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","110","[TCP Spurious Retransmission] 443  >  50788 [PSH, ACK] Seq=1 Ack=1 Win=16 Len=24 TSval=1100047050 TSecr=413443054"
"55","14.396888747","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a06:98c1:3107::6812:2715","TCP","98","[TCP Dup ACK 52#1] 50788  >  443 [ACK] Seq=29 Ack=25 Win=63 Len=0 TSval=413463153 TSecr=1100047050 SLE=1 SRE=25"
"56","14.437824770","2a06:98c1:3107::6812:2715","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","443  >  50788 [ACK] Seq=25 Ack=29 Win=16 Len=0 TSval=1100047089 TSecr=413463094"
"59","15.583907328","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a00:1450:4001:82a::200e","TLSv1.2","188","[TCP Spurious Retransmission] , Application Data, Application Data, Application Data"
"63","16.607955710","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:1901:0:38d7::","TCP","86","[TCP Dup ACK 20#1] 60746  >  80 [ACK] Seq=1 Ack=1 Win=64 Len=0 TSval=2360896729 TSecr=1323332831"
"64","16.607986553","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2600:1901:0:38d7::","TCP","86","[TCP Dup ACK 21#1] 60754  >  80 [ACK] Seq=1 Ack=1 Win=64 Len=0 TSval=2360896729 TSecr=567648313"
"65","16.664904523","2600:1901:0:38d7::","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","[TCP Dup ACK 23#1] 80  >  60746 [ACK] Seq=1 Ack=2 Win=1053 Len=0 TSval=1323343014 TSecr=2360866009"
"66","16.673897640","2600:1901:0:38d7::","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","[TCP Dup ACK 22#1] 80  >  60754 [ACK] Seq=1 Ack=2 Win=1054 Len=0 TSval=567658504 TSecr=2360865911"
"70","18.584001143","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","311","43189  >  443 Len=249"
"71","18.584746873","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","522","43189  >  443 Len=460"
"72","18.659665068","2803:f800:53::4","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","UDP","89","443  >  43189 Len=27"
"73","18.665010174","2803:f800:53::4","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","UDP","650","443  >  43189 Len=588"
"74","18.665010812","2803:f800:53::4","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","UDP","650","443  >  43189 Len=588"
"75","18.665010890","2803:f800:53::4","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","UDP","650","443  >  43189 Len=588"
"76","18.665824033","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","105","43189  >  443 Len=43"
"79","19.832389804","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","522","43189  >  443 Len=460"
"80","19.832634967","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","311","43189  >  443 Len=249"
"81","19.910903300","2803:f800:53::4","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","UDP","89","443  >  43189 Len=27"
"82","19.914144053","2803:f800:53::4","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","UDP","650","443  >  43189 Len=588"
"83","19.914450947","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","105","43189  >  443 Len=43"
"84","19.916580314","2803:f800:53::4","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","UDP","650","443  >  43189 Len=588"
"85","19.916580707","2803:f800:53::4","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","UDP","650","443  >  43189 Len=588"
"86","19.917274016","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","105","43189  >  443 Len=43"
"87","19.921717507","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","1294","Initial, DCID=a2f9b3f122ebd1fbe5d54ce1026486ea, SCID=1a1ccc, PKN: 0, CRYPTO, CRYPTO"
"88","19.921784893","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","1294","Initial, DCID=a2f9b3f122ebd1fbe5d54ce1026486ea, SCID=1a1ccc, PKN: 1, CRYPTO"
"89","19.921844072","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","1294","0-RTT, DCID=a2f9b3f122ebd1fbe5d54ce1026486ea, SCID=1a1ccc"
"90","19.923750082","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","1294","0-RTT, DCID=a2f9b3f122ebd1fbe5d54ce1026486ea, SCID=1a1ccc"
"91","19.925843811","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","822","0-RTT, DCID=a2f9b3f122ebd1fbe5d54ce1026486ea, SCID=1a1ccc"
"92","19.969326820","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","TCP","94","36748  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 SACK_PERM TSval=2803491308 TSecr=0 WS=1024"
"93","19.973229526","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","105","Initial, DCID=1a1ccc, SCID=e2f9b3f122ebd1fb, PKN: 1, ACK"
"94","19.976428911","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","105","Initial, DCID=1a1ccc, SCID=e2f9b3f122ebd1fb, PKN: 2, ACK"
"95","19.977000742","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Initial, DCID=1a1ccc, SCID=e2f9b3f122ebd1fb, PKN: 3, ACK, PADDING"
"96","19.977001058","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Initial, DCID=1a1ccc, SCID=e2f9b3f122ebd1fb, PKN: 4, ACK, PADDING"
"97","19.977001203","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Initial, DCID=1a1ccc, SCID=e2f9b3f122ebd1fb, PKN: 5, CRYPTO, PADDING"
"98","19.977001283","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Handshake, DCID=1a1ccc, SCID=e2f9b3f122ebd1fb"
"99","19.977001367","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Handshake, DCID=1a1ccc, SCID=e2f9b3f122ebd1fb"
"100","19.977486516","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Handshake, DCID=1a1ccc, SCID=e2f9b3f122ebd1fb"
"101","19.977486927","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Handshake, DCID=1a1ccc, SCID=e2f9b3f122ebd1fb"
"102","19.977487039","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Handshake, DCID=1a1ccc, SCID=e2f9b3f122ebd1fb"
"103","19.977487146","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","867","Protected Payload (KP0), DCID=1a1ccc"
"104","19.980475944","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","149","Handshake, DCID=e2f9b3f122ebd1fb, SCID=1a1ccc"
"105","19.985702066","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","232","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"106","19.986256875","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","1294","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"107","19.986319317","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","1294","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"108","19.988636929","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","179","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"109","20.020012001","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","94","443  >  36748 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM TSval=4149263545 TSecr=2803491308 WS=256"
"110","20.020066385","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","TCP","86","36748  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2803491359 TSecr=4149263545"
"111","20.021728112","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","TLSv1.3","2556","Client Hello (SNI=www.google.com)"
"112","20.022173126","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","TLSv1.3","184","Change Cipher Spec, Application Data"
"113","20.036962909","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","680","Protected Payload (KP0), DCID=1a1ccc"
"114","20.036963376","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","186","Protected Payload (KP0), DCID=1a1ccc"
"115","20.037722387","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","88","Protected Payload (KP0), DCID=1a1ccc"
"116","20.038262357","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","93","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"117","20.041305042","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","92","Protected Payload (KP0), DCID=1a1ccc"
"118","20.061577667","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","94","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"119","20.072693268","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","443  >  36748 [ACK] Seq=1 Ack=1349 Win=268544 Len=0 TSval=4149263599 TSecr=2803491360"
"120","20.072693806","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","443  >  36748 [ACK] Seq=1 Ack=2471 Win=267520 Len=0 TSval=4149263600 TSecr=2803491360"
"121","20.072693947","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","443  >  36748 [ACK] Seq=1 Ack=2569 Win=267520 Len=0 TSval=4149263600 TSecr=2803491361"
"122","20.072694030","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","1294","443  >  36748 [ACK] Seq=1 Ack=2569 Win=267520 Len=1208 TSval=4149263601 TSecr=2803491361 [TCP PDU reassembled in 125]"
"124","20.072758093","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","TCP","86","36748  >  443 [ACK] Seq=2569 Ack=1209 Win=64512 Len=0 TSval=2803491411 TSecr=4149263601"
"125","20.073769935","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","1294","Server Hello, Change Cipher Spec"
"126","20.073770523","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","2502","443  >  36748 [PSH, ACK] Seq=2417 Ack=2569 Win=267520 Len=2416 TSval=4149263601 TSecr=2803491361 [TCP PDU reassembled in 127]"
"127","20.073770602","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","440","Application Data"
"128","20.073814876","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","TCP","86","36748  >  443 [ACK] Seq=2569 Ack=2417 Win=63488 Len=0 TSval=2803491412 TSecr=4149263601"
"129","20.073839546","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","TCP","86","36748  >  443 [ACK] Seq=2569 Ack=4833 Win=61440 Len=0 TSval=2803491412 TSecr=4149263601"
"130","20.073847475","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","TCP","86","36748  >  443 [ACK] Seq=2569 Ack=5187 Win=61440 Len=0 TSval=2803491412 TSecr=4149263601"
"131","20.081568273","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","TLSv1.3","144","Application Data"
"132","20.081593988","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1031","Protected Payload (KP0), DCID=1a1ccc"
"133","20.083050304","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","93","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"134","20.083371881","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","TLSv1.3","178","Application Data"
"135","20.102399240","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","94","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"136","20.109235680","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1290","Protected Payload (KP0), DCID=1a1ccc"
"137","20.109236297","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Protected Payload (KP0), DCID=1a1ccc"
"138","20.109581822","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","93","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"139","20.113718677","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Protected Payload (KP0), DCID=1a1ccc"
"140","20.113719205","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Protected Payload (KP0), DCID=1a1ccc"
"141","20.114086677","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","93","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"142","20.115978507","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Protected Payload (KP0), DCID=1a1ccc"
"143","20.115978900","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Protected Payload (KP0), DCID=1a1ccc"
"144","20.116231410","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","93","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"145","20.121468077","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Protected Payload (KP0), DCID=1a1ccc"
"146","20.121468540","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Protected Payload (KP0), DCID=1a1ccc"
"147","20.121468621","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Protected Payload (KP0), DCID=1a1ccc"
"148","20.121786519","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","93","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"149","20.123933591","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Protected Payload (KP0), DCID=1a1ccc"
"150","20.123933993","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Protected Payload (KP0), DCID=1a1ccc"
"151","20.123934094","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Protected Payload (KP0), DCID=1a1ccc"
"152","20.124214114","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","93","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"153","20.125982131","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Protected Payload (KP0), DCID=1a1ccc"
"154","20.125982487","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Protected Payload (KP0), DCID=1a1ccc"
"155","20.126233554","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","93","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"156","20.128722793","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Protected Payload (KP0), DCID=1a1ccc"
"157","20.128723307","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Protected Payload (KP0), DCID=1a1ccc"
"158","20.128723385","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","873","Protected Payload (KP0), DCID=1a1ccc"
"159","20.128751885","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","443  >  36748 [ACK] Seq=5187 Ack=2627 Win=267520 Len=0 TSval=4149263655 TSecr=2803491420"
"160","20.129097615","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","93","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"161","20.133084944","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","443  >  36748 [ACK] Seq=5187 Ack=2719 Win=267520 Len=0 TSval=4149263660 TSecr=2803491422"
"162","20.136461757","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","702","Application Data, Application Data"
"163","20.136462219","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TLSv1.3","117","Application Data"
"164","20.137480235","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","TLSv1.3","117","Application Data"
"165","20.158845755","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","89","Protected Payload (KP0), DCID=1a1ccc"
"166","20.165816991","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","311","43189  >  443 Len=249"
"167","20.166498824","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","522","43189  >  443 Len=460"
"168","20.181440833","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","TCP","86","443  >  36748 [ACK] Seq=5834 Ack=2750 Win=267520 Len=0 TSval=4149263710 TSecr=2803491476"
"169","20.217633821","2803:f800:53::4","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","UDP","89","443  >  43189 Len=27"
"170","20.220201139","2803:f800:53::4","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","UDP","650","443  >  43189 Len=588"
"171","20.220201670","2803:f800:53::4","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","UDP","650","443  >  43189 Len=588"
"172","20.220985732","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","105","43189  >  443 Len=43"
"173","20.222777858","2803:f800:53::4","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","UDP","650","443  >  43189 Len=588"
"174","20.232825865","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","311","43189  >  443 Len=249"
"175","20.233136981","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","522","43189  >  443 Len=460"
"176","20.242960463","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","106","43189  >  443 Len=44"
"177","20.254690420","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","620","Protected Payload (KP0), DCID=1a1ccc"
"178","20.254847366","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","93","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"179","20.259275583","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1287","Protected Payload (KP0), DCID=1a1ccc"
"180","20.259275708","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","253","Protected Payload (KP0), DCID=1a1ccc"
"181","20.259391416","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","93","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"182","20.264169019","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","312","43189  >  443 Len=250"
"183","20.264326177","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2803:f800:53::4","UDP","524","43189  >  443 Len=462"
"184","20.265615284","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1287","Protected Payload (KP0), DCID=1a1ccc"
"185","20.265615529","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Protected Payload (KP0), DCID=1a1ccc"
"186","20.265615556","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Protected Payload (KP0), DCID=1a1ccc"
"187","20.265615608","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","535","Protected Payload (KP0), DCID=1a1ccc"
"188","20.265615636","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","395","Protected Payload (KP0), DCID=1a1ccc"
"189","20.265615664","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1184","Protected Payload (KP0), DCID=1a1ccc"
"190","20.265615691","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1287","Protected Payload (KP0), DCID=1a1ccc"
"191","20.265615720","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Protected Payload (KP0), DCID=1a1ccc"
"192","20.265638039","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Protected Payload (KP0), DCID=1a1ccc"
"193","20.265750213","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","93","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
"194","20.276459438","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","1294","Protected Payload (KP0), DCID=1a1ccc"
"195","20.276459662","2a00:1450:400c:c06::93","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","QUIC","325","Protected Payload (KP0), DCID=1a1ccc"
"196","20.276641487","fdcc:1705:6306:16:2c3c:8cd9:35be:5cd6","2a00:1450:400c:c06::93","QUIC","93","Protected Payload (KP0), DCID=e2f9b3f122ebd1fb"
