"No.","Time","Source","Destination","Protocol","Length","Info"
"90","21.504661820","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x230c0b4d"
"91","21.914795308","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"92","22.325457726","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"93","22.735113850","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xa5daa435"
"94","22.943715615","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xdbc1b42a"
"95","23.145069953","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"96","23.349496814","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"97","23.759382544","0.0.0.0","255.255.255.255","DHCP","332","DHCP Discover - Transaction ID 0x1b9b9c62"
"98","24.168747985","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"99","24.576387951","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"100","24.987496095","0.0.0.0","255.255.255.255","DHCP","347","DHCP Discover - Transaction ID 0x4dc2e312"
"101","25.192358536","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"102","25.398154278","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"103","25.601535924","0.0.0.0","255.255.255.255","DHCP","331","DHCP Discover - Transaction ID 0xffbec4ce"
"104","26.626062892","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"105","27.035552527","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xa5daa435"
"106","27.650024966","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"107","27.855443110","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"108","28.059954334","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0xdbc1b42a"
"109","28.674098972","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"110","28.879180897","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"111","29.700014827","2a06:98c1:3108::ac40:94eb","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TLSv1.2","110","Application Data"
"112","29.700030452","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"113","29.700232532","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a06:98c1:3108::ac40:94eb","TLSv1.2","114","Application Data"
"114","29.737476864","2a06:98c1:3108::ac40:94eb","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TCP","86","443  >  52474 [ACK] Seq=207 Ack=233 Win=19 Len=0 TSval=2285624770 TSecr=1477150445"
"115","29.906980289","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x230c0b4d"
"116","31.746827430","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"117","32.125932766","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a06:98c1:52::4","TLSv1.2","125","Application Data"
"118","32.191610263","2a06:98c1:52::4","2a0d:3344:18fa:4916:f109:b90c:1660:710d","TLSv1.2","125","Application Data"
"119","32.191648086","2a0d:3344:18fa:4916:f109:b90c:1660:710d","2a06:98c1:52::4","TCP","86","56872  >  443 [ACK] Seq=40 Ack=40 Win=63 Len=0 TSval=1931385804 TSecr=1048004939"
"120","32.566487313","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"121","32.566487784","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"122","33.590009267","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"123","33.590009860","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"124","34.612992930","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 8.8.8.8? Tell 100.96.0.2"
"125","35.226885565","AzureWaveTec_40:47:91","Broadcast","ARP","42","Who has 1.1.1.1? Tell 100.96.0.2"
"126","35.440763736","0.0.0.0","255.255.255.255","DHCP","342","DHCP Discover - Transaction ID 0x8cb9188c"
